date,portfolio_value,cash,shares_held,trade_type,trade_shares,trade_price
2024-08-12,114120.0579678001,0.5536742717085872,92429,Buy,0,1.2346720649745035
2024-08-13,116240.56066060792,0.5536742717085872,92429,Buy,0,1.2576140279169548
2024-08-14,116495.69260750405,0.5536742717085872,92429,Buy,0,1.2603743298448793
2024-08-15,118196.6214503239,0.5536742717085872,92429,Buy,0,1.2787768749640502
2024-08-16,118950.70491047652,0.5536742717085872,92429,Buy,0,1.2869353907994765
2024-08-19,118859.98013948715,0.5536742717085872,92429,Buy,0,1.2859538290494914
2024-08-20,119211.51475213123,0.5536742717085872,92429,Buy,0,1.28975712252496
2024-08-21,119149.14472774962,0.5536742717085872,92429,Buy,0,1.2890823340453528
2024-08-22,118088.88904044758,0.5536742717085872,92429,Buy,0,1.2776113056094502
2024-08-23,119398.61614347974,0.5536742717085872,92429,Buy,0,1.2917813940344267
2024-08-26,119591.3780659943,0.5536742717085872,92429,Buy,0,1.2938669074827445
2024-08-27,120073.32194036388,0.5536742717085872,92429,Buy,0,1.299081113785632
2024-08-28,119200.16764441037,0.5536742717085872,92429,Buy,0,1.2896343568591964
2024-08-29,121071.19892148812,0.5536742717085872,92429,Buy,0,1.309877259812574
2024-08-30,120623.28768848484,0.5536742717085872,92429,Buy,0,1.3050312565776232
2024-09-03,117091.02074111968,0.5536742717085872,92429,Buy,0,1.2668152535118629
2024-09-04,116002.41898900614,0.5536742717085872,92429,Buy,0,1.2550375457349363
2024-09-05,116869.8953902011,0.5536742717085872,92429,Buy,0,1.2644228728638132
2024-09-06,115985.41135011925,0.5536742717085872,92429,Buy,0,1.254853538130322
2024-09-09,116036.44294857622,0.5536742717085872,92429,Buy,0,1.2554056548735193
2024-09-10,115582.85382081442,0.5536742717085872,92429,Buy,0,1.25049822184101
2024-09-11,117028.6507167381,0.5536742717085872,92429,Buy,0,1.266140465032256
2024-09-12,117091.02074111968,0.5536742717085872,92429,Buy,0,1.2668152535118629
2024-09-13,116937.9259457487,0.5536742717085872,92429,Buy,0,1.2651589032822708
2024-09-16,113434.01374499137,0.5536742717085872,92429,Buy,0,1.227249673486889
2024-09-17,113700.48411781208,0.5536742717085872,92429,Buy,0,1.2301326471512228
2024-09-18,115911.70289981303,0.5536742717085872,92429,Buy,0,1.2540560779143053
2024-09-19,120549.57923817865,0.5536742717085872,92429,Buy,0,1.3042337963616066
2024-09-20,120169.69856072305,0.5536742717085872,92429,Buy,0,1.300123823545114
2024-09-23,119188.82921848577,0.5536742717085872,92429,Buy,0,1.2895116851227868
2024-09-24,119699.1104758706,0.5536742717085872,92429,Buy,0,1.2950324768373442
2024-09-25,119132.13708886271,0.5536742717085872,92429,Buy,0,1.2888983264407383
2024-09-26,119784.15735210139,0.5536742717085872,92429,Buy,0,1.2959526087897704
2024-09-27,119937.23478387983,0.5536742717085872,92429,Buy,0,1.2976087711606543
2024-09-30,122891.18991831252,0.5536742717085872,92429,Buy,0,1.3295679520933994
2024-10-01,119041.41231787339,0.5536742717085872,92429,Buy,0,1.2879167646907537
2024-10-02,119364.59218390967,0.5536742717085872,92429,Buy,0,1.291413284895844
2024-10-03,118735.24877252025,0.5536742717085872,92429,Buy,0,1.2846043460196317
2024-10-04,119375.93929163055,0.5536742717085872,92429,Buy,0,1.2915360505616078
2024-10-07,116478.69365041342,0.5536742717085872,92429,Buy,0,1.260190416169619
2024-10-08,118791.94958393951,0.5536742717085872,92429,Buy,0,1.2852177986310336
2024-10-09,120929.45123383797,0.5536742717085872,92429,Buy,0,1.3083436752487452
2024-10-10,120645.9558585378,0.5536742717085872,92429,Buy,0,1.3052765061210885
2024-10-11,119801.17367278457,0.5536742717085872,92429,Buy,0,1.296136710323739
2024-10-14,121927.33689675841,0.5536742717085872,92429,Buy,0,1.3191399152050407
2024-10-15,123373.12511088584,0.5536742717085872,92429,Buy,0,1.3347820644669328
2024-10-16,122199.47648254146,0.5536742717085872,92429,Buy,0,1.3220842247375797
2024-10-17,122409.26340753544,0.5536742717085872,92429,Buy,0,1.3243539336492198
2024-10-18,124025.15405592078,0.5536742717085872,92429,Buy,0,1.3418364407453187
2024-10-21,124864.27571050794,0.5536742717085872,92429,Buy,0,1.3509149946038173
2024-10-22,124512.74977966014,0.5536742717085872,92429,Buy,0,1.347111795057703
2024-10-23,121621.16466960899,0.5536742717085872,92429,Buy,0,1.3158274026045644
2024-10-24,121513.44094152903,0.5536742717085872,92429,Buy,0,1.3146619271793194
2024-10-25,121989.69823934375,0.5536742717085872,92429,Buy,0,1.3198146097552936
2024-10-28,123117.98448219342,0.5536742717085872,92429,Buy,0,1.332021668609654
2024-10-29,123271.07059576812,0.5536742717085872,92429,Buy,0,1.333677924909892
